Capas,LearningRate,MSE
1,0.0001,0.19473900851617634
1,0.001,0.06274240810434802
1,0.01,0.04203443641139129
1,0.1,0.03518212452298605
2,0.0001,0.17665539266990765
2,0.001,0.015506113781966271
2,0.01,0.01111981712185505
2,0.1,0.5002675838424829
3,0.0001,0.07167962201517734
3,0.001,0.01144953787767852
3,0.01,0.010721209688698169
3,0.1,0.042433590718601005
